date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_change,MA_5,MA_20
2010-04-27,50.6,55.51,50.01,55.51,16754607.0,883432000.0,20000000.0,0.83773035,,,
2010-04-28,53.77,55.12,49.96,52.4,9303979.0,488278080.0,20000000.0,0.46519895,-5.6025941271842905,,
2010-04-29,53.4,56.29,53.4,54.15,9312555.0,508870656.0,20000000.0,0.46562775,3.3396946564885566,,
2010-04-30,54.1,54.13,49.0,53.0,5223622.0,271492480.0,20000000.0,0.2611811,-2.123730378578026,,
2010-05-04,53.71,57.99,53.71,56.5,6824715.0,378121536.0,20000000.0,0.34123575,6.60377358490567,54.312,
2010-05-05,55.25,59.29,55.0,58.19,5285174.0,303369056.0,20000000.0,0.2642587,2.9911504424778634,54.848,
2010-05-06,58.2,60.98,57.71,58.06,3992939.0,236160640.0,20000000.0,0.19964695,-0.2234060835194951,55.98,
2010-05-07,56.65,58.58,52.6,53.0,4786377.0,265768768.0,20000000.0,0.23931885,-8.715122287289013,55.75,
2010-05-10,52.4,53.0,47.7,47.7,4323013.0,213934128.0,20000000.0,0.21615065,-9.999999999999998,54.69,
2010-05-11,49.7,50.49,47.52,48.01,3024636.0,148135552.0,20000000.0,0.1512318,0.6498951781970463,52.992,
2010-05-12,45.6,49.14,45.3,46.71,2161033.0,102113968.0,20000000.0,0.10805165,-2.7077692147469246,50.696,
2010-05-13,47.0,48.24,45.5,47.79,1844944.0,86737592.0,20000000.0,0.0922472,2.3121387283236983,48.641999999999996,
2010-05-14,47.6,47.6,45.82,47.21,1896455.0,88494776.0,20000000.0,0.09482275,-1.213643021552624,47.483999999999995,
2010-05-17,46.23,47.99,45.9,46.1,2157559.0,100858624.0,20000000.0,0.10787795,-2.3511967803431455,47.164,
2010-05-18,45.66,46.71,41.65,44.4,2370030.0,103569576.0,20000000.0,0.1185015,-3.6876355748373113,46.442,
2010-05-19,43.78,47.65,43.21,46.01,2066384.0,94144736.0,20000000.0,0.1033192,3.626126126126117,46.302,
2010-05-20,45.04,45.96,44.0,44.15,1458729.0,65839224.0,20000000.0,0.07293645,-4.042599434905458,45.574,
2010-05-21,42.33,47.48,42.32,47.03,1947665.0,88160848.0,20000000.0,0.09738325,6.52321630804078,45.538,
2010-05-24,46.79,49.48,46.71,48.05,2219169.0,106975968.0,20000000.0,0.11095845,2.1688284073995145,45.928,
2010-05-25,47.3,48.52,46.7,47.12,1481810.0,70594992.0,20000000.0,0.0740905,-1.9354838709677469,46.472,50.054500000000004
2010-05-26,47.0,48.0,46.6,46.71,1194209.0,56452308.0,20000000.0,0.05971045,-0.8701188455008446,46.612,49.6145
2010-05-27,46.4,50.4,46.35,49.8,2249868.0,109268840.0,20000000.0,0.1124934,6.615285806037252,47.742000000000004,49.484500000000004
2010-05-28,50.1,51.99,48.5,49.39,1869968.0,93838616.0,20000000.0,0.0934984,-0.8232931726907533,48.214,49.246500000000005
2010-05-31,49.04,51.0,48.3,48.3,1517049.0,75215256.0,20000000.0,0.07585245,-2.206924478639405,48.263999999999996,49.0115
2010-06-01,47.47,48.5,44.5,46.41,1317205.0,61260232.0,20000000.0,0.06586025,-3.913043478260869,48.122,48.507
2010-06-03,47.5,48.18,45.9,45.9,1260442.0,59596800.0,20000000.0,0.0630221,-1.098901098901095,47.96,47.8925
2010-06-04,44.75,46.5,44.75,46.4,842114.0,38624336.0,20000000.0,0.0421057,1.089324618736387,47.279999999999994,47.3095
2010-06-07,45.54,48.29,45.34,47.89,1356619.0,64069028.0,20000000.0,0.06783095,3.2112068965517215,46.980000000000004,47.054
2010-06-08,47.89,51.2,47.5,49.7,2362053.0,117729280.0,20000000.0,0.11810265,3.7794946752975678,47.26,47.154
2010-06-09,49.55,52.48,49.55,50.4,1672318.0,85389800.0,20000000.0,0.0836159,1.4084507042253502,48.058,47.2735
2010-06-10,50.39,52.19,50.11,51.21,1366341.0,69755824.0,20000000.0,0.06831705,1.6071428571428514,49.12,47.49849999999999
