date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_change,MA_5,MA_20
2020-08-17,8.68,9.9,8.0,9.85,215585877.0,1892486815.0,269367789.0,0.8003402255345385,,,
2020-08-18,9.33,15.2,9.19,13.3,201783899.0,2307161312.0,269367789.0,0.7491018126150191,35.0253807106599,,
2020-08-19,13.0,14.66,12.53,13.53,159746961.0,2154036176.0,269367789.0,0.5930440369022741,1.7293233082706694,,
2020-08-20,13.0,13.26,11.55,11.65,109882143.0,1348282455.0,269367789.0,0.407926067953136,-13.8950480413895,,
2020-08-21,11.7,12.23,10.81,11.02,100553683.0,1157789708.0,269367789.0,0.3732951269834271,-5.407725321888424,11.870000000000001,
2020-08-24,10.53,10.66,9.57,10.02,100657612.0,1014985574.0,269367789.0,0.37368095262496287,-9.074410163339387,11.904,
2020-08-25,9.88,10.56,9.7,10.24,87970543.0,894341396.0,269367789.0,0.3265815238213207,2.1956087824351433,11.292,
2020-08-26,10.19,10.21,8.95,9.0,86573278.0,819535947.0,269367789.0,0.32139432231817444,-12.109375,10.386,
2020-08-27,8.99,9.74,8.77,9.32,68992934.0,638450147.0,269367789.0,0.2561291172048786,3.5555555555555562,9.92,
2020-08-28,8.99,9.17,8.8,9.02,45016482.0,403604070.0,269367789.0,0.16711902401960912,-3.2188841201716833,9.52,
2020-08-31,9.13,9.35,8.91,8.94,34808355.0,317403941.0,269367789.0,0.12922241047907923,-0.8869179600886956,9.304,
2020-09-01,8.95,9.08,8.52,8.69,40232880.0,351888056.0,269367789.0,0.14936039735619613,-2.796420581655479,8.994,
2020-09-02,8.61,9.11,8.55,8.9,42290802.0,375554519.0,269367789.0,0.15700021950285972,2.4165707710011697,8.974,
2020-09-03,8.75,9.66,8.71,9.26,62609389.0,575392522.0,269367789.0,0.23243086796840434,4.044943820224711,8.962,
2020-09-04,9.06,9.66,9.05,9.3,46303972.0,434701702.0,269367789.0,0.17189869721208573,0.4319654427645814,9.018,
2020-09-07,9.55,9.65,8.82,8.87,43474769.0,395807888.0,269367789.0,0.16139557428672363,-4.623655913978508,9.004,
2020-09-08,8.82,9.14,8.61,9.05,31130537.0,276677849.0,269367789.0,0.11556889231473776,2.0293122886133164,9.076,
2020-09-09,8.91,9.33,8.65,8.84,41836515.0,377368417.0,269367789.0,0.15531372609662694,-2.3204419889502836,9.064,
2020-09-10,8.92,9.25,8.45,8.52,35664663.0,315892962.0,269367789.0,0.13240136518327364,-3.6199095022624417,8.916,
2020-09-11,8.4,8.46,7.97,8.26,36699367.0,300756892.0,269367789.0,0.13624259654891402,-3.0516431924882625,8.708,9.779
2020-09-14,8.45,8.5,8.2,8.34,19975013.0,167122274.0,269367789.0,0.07415516559776937,0.9685230024213176,8.602,9.7035
2020-09-15,8.36,8.4,8.07,8.3,21978220.0,180741535.0,269367789.0,0.08159186397747059,-0.47961630695442237,8.452,9.4535
2020-09-16,8.3,9.18,8.18,9.09,58851725.0,515021325.0,269367789.0,0.21848092980411998,9.51807228915662,8.502,9.2315
2020-09-17,8.98,10.91,8.82,10.91,112865436.0,1158259811.0,269367789.0,0.4190012340339624,20.022002200220037,8.98,9.1945
2020-09-18,11.0,11.44,9.91,9.99,126451852.0,1344596228.0,269367789.0,0.4694393953688353,-8.432630614115489,9.326,9.143
2020-09-21,9.81,10.7,9.79,10.38,80243441.0,830148218.0,269367789.0,0.29789545846552573,3.903903903903916,9.734,9.161
2020-09-22,10.16,11.43,9.85,10.58,94601707.0,1008441673.0,269367789.0,0.3511990329326273,1.9267822736030782,10.190000000000001,9.178
2020-09-23,10.68,11.36,10.31,10.7,79550190.0,859296537.0,269367789.0,0.2953218359749762,1.1342155009451682,10.511999999999999,9.263000000000002
2020-09-24,10.58,10.58,9.9,9.97,57921420.0,588245676.0,269367789.0,0.21502726890630564,-6.822429906542049,10.324000000000002,9.2955
2020-09-25,10.14,10.15,9.53,9.53,36998776.0,362004502.0,269367789.0,0.137354121431349,-4.41323971915748,10.232,9.321000000000002
2020-09-28,9.6,9.74,9.03,9.03,33298887.0,310788118.0,269367789.0,0.12361866696689558,-5.2465897166841575,9.962,9.325500000000002
2020-09-29,9.18,10.35,9.02,10.0,61533150.0,604477618.0,269367789.0,0.2284354422198565,10.741971207087486,9.846,9.391
2020-09-30,10.04,10.38,9.73,9.99,39237389.0,393853310.0,269367789.0,0.14566474018911,-0.10000000000000009,9.704,9.4455
2020-10-09,10.3,10.42,10.02,10.09,28749763.0,293170514.0,269367789.0,0.10673051557771816,1.0010010010010006,9.727999999999998,9.486999999999998
2020-10-12,10.09,10.54,10.07,10.3,40344592.0,415253625.0,269367789.0,0.14977511657861958,2.0812685827552135,9.882000000000001,9.537
2020-10-13,10.24,10.39,9.85,9.93,40853137.0,409598944.0,269367789.0,0.15166303718667715,-3.592233009708745,10.062000000000001,9.59
2020-10-14,9.89,9.9,9.63,9.72,22093259.0,214906892.0,269367789.0,0.08201893434259135,-2.114803625377637,10.006,9.6235
2020-10-15,9.8,10.04,9.46,9.51,30602443.0,297947119.0,269367789.0,0.1136083980701939,-2.1604938271605034,9.91,9.657
2020-10-16,9.38,9.47,9.13,9.21,24048699.0,222663832.0,269367789.0,0.08927830268525536,-3.154574132492105,9.734,9.691500000000001
2020-10-19,9.27,9.69,9.23,9.38,27937756.0,265073577.0,269367789.0,0.10371602374476928,1.8458197611292082,9.55,9.747499999999999
2020-10-20,9.4,9.57,9.21,9.55,17188640.0,161679253.0,269367789.0,0.06381104460860389,1.8123667377398789,9.474,9.808000000000002
2020-10-21,9.54,9.55,9.09,9.13,22182774.0,204459024.0,269367789.0,0.08235124950296117,-4.397905759162302,9.356,9.8495
2020-10-22,9.2,9.37,9.1,9.15,16751462.0,154407415.0,269367789.0,0.06218806659173343,0.21905805038333614,9.284,9.852500000000001
2020-10-23,9.12,9.2,8.8,8.85,20607302.0,184703048.0,269367789.0,0.07650247298128136,-3.2786885245901676,9.212,9.749500000000001
2020-10-26,8.75,8.98,8.69,8.92,10125616.0,89605998.0,269367789.0,0.037590300004281506,0.7909604519773961,9.120000000000001,9.696
