date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_change,MA_5,MA_20
2020-09-16,58.0,65.36,55.81,61.34,9492510.0,563824640.0,12282047.0,0.7728768665353585,,,
2020-09-17,57.8,73.73,56.05,66.5,8310703.0,521278192.0,12282047.0,0.6766545511509604,8.41212911640039,,
2020-09-18,63.88,64.44,58.3,58.83,5229207.0,318402055.0,12282047.0,0.4257602173318503,-11.533834586466163,,
2020-09-21,58.2,60.32,57.5,57.81,3050745.0,178803339.0,12282047.0,0.24839059808189953,-1.7338092809790817,,
2020-09-22,57.0,57.68,54.54,54.55,3045890.0,170568362.0,12282047.0,0.2479953056685095,-5.6391627746064765,59.806,
2020-09-23,54.77,55.77,54.13,55.19,2004701.0,110482977.0,12282047.0,0.163222058993912,1.1732355637030345,58.576,
2020-09-24,54.58,54.76,52.5,53.28,1754198.0,93729844.0,12282047.0,0.14282619175777458,-3.4607718789635755,55.931999999999995,
2020-09-25,53.91,53.91,50.84,50.97,1286532.0,67360345.0,12282047.0,0.10474898850330079,-4.335585585585589,54.36,
2020-09-28,51.16,51.32,48.4,48.6,1361921.0,67426037.0,12282047.0,0.11088713469342691,-4.64979399646851,52.51800000000001,
2020-09-29,49.0,49.35,48.55,48.61,860809.0,42139655.0,12282047.0,0.07008676973797609,0.02057613168724437,51.33,
2020-09-30,48.41,49.49,47.76,47.77,1075773.0,52062438.0,12282047.0,0.08758906394023733,-1.7280394980456637,49.846000000000004,
2020-10-09,48.0,50.31,48.0,50.0,1129917.0,56065030.0,12282047.0,0.09199744961080185,4.668201800293059,49.19,
2020-10-12,50.0,51.79,50.0,51.0,1311642.0,66808116.0,12282047.0,0.10679343598017496,2.0000000000000018,49.196000000000005,
2020-10-13,50.68,51.38,50.16,50.48,894309.0,45131852.0,12282047.0,0.07281432810019373,-1.0196078431372602,49.572,
2020-10-14,50.93,52.44,50.34,51.92,1266932.0,64905560.0,12282047.0,0.10315316331227196,2.8526148969889142,50.233999999999995,
2020-10-15,51.74,51.74,49.8,50.08,1231320.0,62460909.0,12282047.0,0.10025364664375572,-3.5439137134052445,50.696,
2020-10-16,50.1,50.43,49.5,50.23,586822.0,29315522.0,12282047.0,0.047778843380097795,0.29952076677315365,50.742000000000004,
2020-10-19,50.39,50.59,49.8,49.89,700162.0,35073833.0,12282047.0,0.057006946806179785,-0.6768863229145827,50.519999999999996,
2020-10-20,49.6,50.65,49.33,50.55,645589.0,32378704.0,12282047.0,0.05256363210464835,1.3229104028863459,50.534,
2020-10-21,50.61,51.9,50.11,50.56,1062077.0,54135836.0,12282047.0,0.08647394037817963,0.01978239366964285,50.262,52.908
2020-10-22,50.42,51.5,49.53,50.91,771848.0,39008743.0,12282047.0,0.06284359602271511,0.6922468354430222,50.428,52.3865
2020-10-23,50.92,50.92,49.23,49.59,909654.0,45429961.0,12282047.0,0.0740637126693946,-2.5928108426635066,50.3,51.541
2020-10-26,49.35,50.18,48.8,50.08,523238.0,26009896.0,12282047.0,0.04260185618895612,0.9881024400080651,50.338,51.103500000000004
2020-10-27,49.69,50.56,49.69,50.47,539296.0,27114417.0,12282047.0,0.04390929297046331,0.7787539936102261,50.322,50.7365
2020-10-28,50.49,51.17,50.08,51.0,723206.0,36700534.0,12282047.0,0.058883181280775104,1.0501287893798228,50.410000000000004,50.559000000000005
2020-10-29,50.0,51.48,49.9,50.85,767608.0,38950484.0,12282047.0,0.06249837669567622,-0.2941176470588225,50.398,50.342
