date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_change,MA_5,MA_20
2010-03-26,75.0,89.3,75.0,86.5,8396069.0,666022784.0,10400000.0,0.8073143269230769,,,
2010-03-29,83.65,87.75,80.0,84.71,4919935.0,411796288.0,10400000.0,0.4730706730769231,-2.0693641618497183,,
2010-03-30,84.38,90.99,84.38,89.01,3758547.0,329018144.0,10400000.0,0.36139875,5.076142131979711,,
2010-03-31,88.0,91.0,86.52,89.4,2887764.0,256384416.0,10400000.0,0.2776696153846154,0.43815301651499716,,
2010-04-01,88.83,91.68,86.98,87.0,3218611.0,287266368.0,10400000.0,0.3094818269230769,-2.684563758389269,87.324,
2010-04-02,85.08,86.36,83.9,85.16,2164353.0,183374176.0,10400000.0,0.20811086538461537,-2.1149425287356416,87.056,
2010-04-06,85.16,85.66,83.5,85.55,2152954.0,182008656.0,10400000.0,0.20701480769230768,0.4579614842649127,87.224,
2010-04-07,84.31,88.58,84.24,87.68,2293905.0,199480912.0,10400000.0,0.22056778846153846,2.4897720631209985,86.958,
2010-04-08,88.65,90.88,84.5,84.73,2180087.0,190982384.0,10400000.0,0.20962375,-3.364507299270081,86.024,
2010-04-09,83.84,84.98,82.5,84.58,1954528.0,164038784.0,10400000.0,0.18793538461538462,-0.177032928124643,85.53999999999999,
2010-04-12,84.58,85.58,82.76,83.35,1617819.0,135109776.0,10400000.0,0.15555951923076924,-1.4542445022463935,85.178,
2010-04-13,83.0,84.59,75.51,76.4,2151971.0,170059776.0,10400000.0,0.20692028846153845,-8.338332333533282,83.348,
2010-04-14,76.4,77.45,75.12,76.51,1018114.0,77566728.0,10400000.0,0.09789557692307692,0.14397905759162555,81.114,
2010-04-15,76.94,77.25,69.84,71.15,1418003.0,103286984.0,10400000.0,0.1363464423076923,-7.005620180368577,78.398,
2010-04-16,71.18,72.95,70.02,71.85,851944.0,61262900.0,10400000.0,0.0819176923076923,0.9838369641602007,75.852,
2010-04-19,71.49,77.1,71.05,74.6,1541433.0,115457608.0,10400000.0,0.14821471153846155,3.82741823242867,74.102,
2010-04-20,74.99,74.99,71.01,72.91,771532.0,55909836.0,10400000.0,0.07418576923076924,-2.265415549597849,73.404,
2010-04-21,72.31,75.5,71.0,75.4,872687.0,64638784.0,10400000.0,0.08391221153846154,3.4151693869153954,73.182,
2010-04-22,74.8,77.1,73.1,74.8,1103118.0,83051576.0,10400000.0,0.10606903846153846,-0.7957559681697757,73.912,
2010-04-23,74.3,74.49,71.06,71.18,1132455.0,82065064.0,10400000.0,0.10888990384615385,-4.839572192513353,73.778,80.6235
2010-04-26,71.16,71.79,66.61,66.73,1103184.0,75293624.0,10400000.0,0.10607538461538461,-6.251756111267214,72.204,79.635
2010-04-27,66.76,66.84,61.77,63.29,785944.0,49879888.0,10400000.0,0.07557153846153847,-5.1551026524801475,70.28,78.564
2010-04-28,62.26,63.85,61.53,62.1,417120.0,26106212.0,10400000.0,0.04010769230769231,-1.8802338442091893,67.62,77.21849999999999
2010-04-29,62.5,63.4,60.51,60.62,500092.0,31197590.0,10400000.0,0.04808576923076923,-2.3832528180354307,64.784,75.7795
2010-04-30,60.52,61.64,55.7,57.68,828888.0,47898760.0,10400000.0,0.07970076923076923,-4.84988452655889,62.08399999999999,74.3135
2010-05-04,56.1,58.28,55.03,57.66,446673.0,25535010.0,10400000.0,0.04294932692307692,-0.03467406380027738,60.27,72.9385
2010-05-05,57.66,60.33,57.01,60.28,704572.0,41625192.0,10400000.0,0.06774730769230769,4.543877904960114,59.668000000000006,71.675
2010-05-06,60.6,60.85,57.0,57.3,552499.0,32725106.0,10400000.0,0.05312490384615385,-4.943596549435969,58.70799999999999,70.156
2010-05-07,55.88,58.54,55.31,57.46,354785.0,20285734.0,10400000.0,0.03411394230769231,0.2792321116928509,58.076,68.79249999999999
2010-05-10,57.86,57.9,53.07,53.12,672885.0,36651664.0,10400000.0,0.06470048076923077,-7.553080403759138,57.164,67.21950000000001
2010-05-11,54.3,54.9,52.53,52.88,488796.0,26262526.0,10400000.0,0.04699961538461538,-0.45180722891565717,56.208000000000006,65.696
2010-05-12,52.88,52.88,50.06,52.7,471095.0,24507942.0,10400000.0,0.045297596153846154,-0.34039334341906535,54.69199999999999,64.511
2010-05-13,52.8,53.7,52.0,53.69,377024.0,20039120.0,10400000.0,0.036252307692307695,1.8785578747628096,53.96999999999999,63.370000000000005
2010-05-14,53.98,54.39,53.1,54.07,356925.0,19225420.0,10400000.0,0.034319711538461535,0.7077668094617184,53.29200000000001,62.516
2010-05-17,53.33,53.33,49.3,49.8,315048.0,16368271.0,10400000.0,0.030293076923076923,-7.897170334751258,52.628,61.4135
2010-05-18,49.1,50.45,48.08,50.39,430270.0,21199466.0,10400000.0,0.04137211538461538,1.1847389558232946,52.129999999999995,60.202999999999996
2010-05-19,49.88,52.22,49.19,51.56,484115.0,24768578.0,10400000.0,0.04654951923076923,2.3218892637428157,51.902,59.1355
2010-05-20,50.99,51.8,49.03,49.21,358194.0,18152896.0,10400000.0,0.034441730769230766,-4.557796741660203,51.006,57.826
2010-05-21,48.12,51.42,47.8,51.4,570208.0,28504976.0,10400000.0,0.054827692307692306,4.450314976630754,50.472,56.656000000000006
2010-05-24,51.98,54.48,51.8,54.0,973289.0,51695860.0,10400000.0,0.09358548076923077,5.058365758754868,51.312,55.797000000000004
2010-05-25,53.04,53.75,52.41,52.76,650468.0,34555912.0,10400000.0,0.062545,-2.2962962962962963,51.786,55.0985
2010-05-26,53.0,53.44,52.29,52.9,389566.0,20601824.0,10400000.0,0.03745826923076923,0.26535253980288775,52.053999999999995,54.57899999999999
2010-05-27,52.82,54.7,52.11,54.49,570095.0,30620150.0,10400000.0,0.054816826923076926,3.0056710775047346,53.11,54.1985
2010-05-28,54.73,55.26,53.6,54.24,679218.0,36968888.0,10400000.0,0.06530942307692307,-0.458799779776109,53.678,53.87949999999999
2010-05-31,54.0,56.45,53.64,54.04,842150.0,46351548.0,10400000.0,0.08097596153846154,-0.36873156342183133,53.686,53.697500000000005
2010-06-01,53.6,53.6,49.4,50.93,555951.0,28492520.0,10400000.0,0.053456826923076926,-5.754996299037751,53.32000000000001,53.361000000000004
2010-06-02,50.64,51.25,49.62,51.25,318557.0,16079502.0,10400000.0,0.03063048076923077,0.6283133712939426,52.99000000000001,52.9095
2010-06-03,51.5,52.44,51.2,51.2,472445.0,24495312.0,10400000.0,0.045427403846153847,-0.09756097560974508,52.33200000000001,52.604499999999994
2010-06-04,51.0,52.0,50.5,51.9,292885.0,15025736.0,10400000.0,0.02816201923076923,1.3671875,51.864,52.326499999999996
2010-06-07,51.25,54.0,50.16,54.0,773227.0,41140744.0,10400000.0,0.07434875,4.046242774566466,51.85600000000001,52.37050000000001
2010-06-09,54.88,57.89,54.42,55.85,1333356.0,74843224.0,10400000.0,0.1282073076923077,3.425925925925921,52.839999999999996,52.51899999999999
2010-06-10,56.0,57.36,55.79,56.89,794036.0,45118708.0,10400000.0,0.07634961538461539,1.8621307072515636,53.968,52.72850000000001
2010-06-11,56.8,59.43,56.8,58.88,1021038.0,59335780.0,10400000.0,0.09817673076923077,3.4979785551063403,55.504000000000005,52.988
2010-06-17,59.43,59.43,56.25,56.25,882580.0,50880184.0,10400000.0,0.08486346153846154,-4.46671195652174,56.374,53.097
2010-06-18,55.79,55.79,51.12,51.41,553942.0,29969386.0,10400000.0,0.05326365384615385,-8.604444444444448,55.85600000000001,53.177499999999995
2010-06-21,50.61,53.48,49.65,52.8,575196.0,29683434.0,10400000.0,0.05530730769230769,2.7037541334370863,55.245999999999995,53.298
2010-06-22,52.53,54.54,52.53,53.18,433108.0,23272036.0,10400000.0,0.041645,0.7196969696969813,54.504,53.379000000000005
2010-06-23,52.61,54.27,52.33,54.09,343825.0,18409108.0,10400000.0,0.033060096153846155,1.7111696126363318,53.54600000000001,53.623000000000005
2010-06-24,53.5,54.98,53.5,53.66,293594.0,15831565.0,10400000.0,0.028230192307692307,-0.7949713440562167,53.028,53.736000000000004
2010-06-25,53.56,53.58,50.65,51.48,433734.0,22475652.0,10400000.0,0.041705192307692304,-4.062616474096159,53.041999999999994,53.61
2010-06-28,49.54,50.97,49.38,50.0,2023698.0,101148872.0,13000000.0,0.1556690769230769,-2.8749028749028738,52.48199999999999,53.472
2010-06-29,49.79,50.0,45.64,45.68,1343306.0,64003508.0,13000000.0,0.10333123076923077,-8.640000000000004,50.98199999999999,53.111000000000004
2010-06-30,44.98,45.57,44.0,45.5,865316.0,38599960.0,13000000.0,0.06656276923076923,-0.39404553415061105,49.263999999999996,52.661500000000004
2010-07-01,44.98,45.66,44.01,44.73,545935.0,24416126.0,13000000.0,0.041995,-1.692307692307704,47.477999999999994,52.186
2010-07-02,44.73,45.15,42.67,44.5,585809.0,25800266.0,13000000.0,0.04506223076923077,-0.5141962888441709,46.082,51.709
2010-07-05,44.09,44.24,43.34,44.08,383464.0,16792064.0,13000000.0,0.02949723076923077,-0.9438202247191052,44.897999999999996,51.366499999999995
2010-07-06,44.12,45.79,43.66,45.55,614190.0,27780558.0,13000000.0,0.04724538461538461,3.3348457350272254,44.872,51.0815
2010-07-07,45.68,46.18,45.12,46.08,523843.0,23957684.0,13000000.0,0.04029561538461539,1.1635565312843044,44.988,50.8255
2010-07-08,46.23,47.0,44.81,46.0,488916.0,22420310.0,13000000.0,0.037608923076923075,-0.17361111111110494,45.242,50.5305
2010-07-09,46.0,48.29,45.99,48.2,1261280.0,60067968.0,13000000.0,0.09702153846153846,4.782608695652191,45.982,50.2405
2010-07-12,48.21,48.48,47.6,48.25,733592.0,35205568.0,13000000.0,0.056430153846153845,0.10373443983402453,46.816,49.860499999999995
2010-07-13,47.6,47.96,46.61,47.48,580412.0,27446670.0,13000000.0,0.04464707692307692,-1.5958549222798046,47.202,49.39
2010-07-14,47.48,47.99,46.87,47.02,509027.0,24104320.0,13000000.0,0.039155923076923074,-0.9688289806234041,47.39,48.797
2010-07-15,46.78,47.58,45.8,45.9,433893.0,20294210.0,13000000.0,0.03337638461538461,-2.381965121225016,47.370000000000005,48.2795
2010-07-16,46.05,46.05,44.08,45.23,509873.0,22684816.0,13000000.0,0.039221,-1.4596949891067523,46.775999999999996,47.9705
2010-07-19,44.48,46.15,44.33,46.04,377396.0,17072514.0,13000000.0,0.02903046153846154,1.7908467831085684,46.333999999999996,47.6325
2010-07-20,46.04,47.74,46.01,47.6,542163.0,25370358.0,13000000.0,0.041704846153846155,3.3883579496090332,46.358,47.353500000000004
2010-07-21,47.82,49.04,47.57,47.88,771761.0,36981756.0,13000000.0,0.05936623076923077,0.588235294117645,46.529999999999994,47.043
2010-07-22,47.88,48.85,47.88,48.65,556601.0,26774906.0,13000000.0,0.04281546153846154,1.6081871345029253,47.08,46.792500000000004
2010-07-23,48.77,48.98,47.98,48.66,789149.0,37956308.0,13000000.0,0.06070376923076923,0.02055498458375382,47.766,46.6515
2010-07-26,49.13,49.25,48.2,48.82,579146.0,27963052.0,13000000.0,0.04454969230769231,0.32881216605014085,48.322,46.5925
2010-07-27,48.52,48.85,48.27,48.27,516322.0,24880118.0,13000000.0,0.039717076923076924,-1.1265874641540274,48.456,46.722
2010-07-28,48.27,49.36,48.09,49.16,624996.0,30265718.0,13000000.0,0.048076615384615384,1.8437953180028943,48.711999999999996,46.905
2010-07-29,49.17,50.59,48.88,50.43,886529.0,43716740.0,13000000.0,0.06819453846153846,2.583401139137509,49.068,47.19
2010-07-30,50.36,50.36,49.37,49.78,594906.0,29352690.0,13000000.0,0.045762,-1.2889153281776644,49.292,47.454
