"n_ave","avg_rmse_mu_fda","avg_rmse_mu_traditional","avg_rmse_G_mu"
1,0.785203652267522,2.04968151892153,0.0642677780197951
30,0.235734005743014,0.227610780971153,0.0362202709696193
70,0.208917382523795,0.156919795081978,0.0330286157905548
100,0.202829730948328,0.137794420796927,0.0416273819934686
