date,sh600119_daily,sh600125_daily,sh600128_daily,sh600153_daily,sh600179_daily,sh600180_daily,sz000007_daily,sz000037_daily,sz000039_daily,sz000421_daily,sz002024_daily,sz300013_daily
2025-05-14,25.2,105.47,32.76,226.38,6.99,14.52,87.72,49.83,424.8,66.92,167.26,20.57
2025-05-15,24.43,104.05,32.0,224.64,6.9,14.09,87.96,49.12,426.84,67.03,166.38,20.11
2025-06-24,22.78,101.03,31.4,224.75,6.27,13.75,94.11,50.54,398.86,71.66,165.5,18.41
2025-06-25,22.9,101.39,33.55,232.61,6.31,13.75,93.75,51.06,399.87,71.55,165.5,18.5
2025-06-26,22.69,101.03,34.44,235.98,6.27,13.71,92.66,50.24,400.38,70.89,166.38,18.45
2025-06-27,22.99,101.21,35.2,234.41,6.29,13.75,92.42,50.12,400.38,71.66,168.14,19.42
2025-06-30,22.9,100.33,34.88,232.83,6.24,13.78,91.7,50.3,399.87,72.43,176.07,19.19
2025-07-01,22.64,100.68,33.92,232.61,6.27,13.78,90.98,51.24,401.4,71.55,172.54,18.87
2025-07-09,24.37,102.1,35.11,239.12,6.45,14.13,86.76,60.99,409.03,73.87,170.78,18.96
2025-07-10,24.46,102.63,35.52,242.26,6.54,14.29,86.04,60.47,411.58,75.19,171.66,19.0
2025-07-11,24.64,102.63,36.93,240.92,6.58,14.48,85.92,58.7,412.83,75.52,173.42,19.05
2025-07-14,25.17,102.98,35.55,242.71,6.85,14.51,85.92,60.35,415.43,74.86,172.54,18.87
2025-07-15,24.93,101.74,35.39,241.14,7.08,13.98,84.11,55.41,411.79,73.43,169.02,18.5
2025-07-16,25.55,101.92,36.32,234.41,6.92,14.1,85.67,57.06,412.31,74.31,169.02,18.73
2025-07-17,25.49,102.1,35.46,233.06,6.85,14.13,85.67,56.18,412.83,73.98,169.02,18.77
2025-07-18,25.7,102.82,35.14,231.94,6.9,14.13,85.55,56.82,418.03,74.2,169.02,18.68
2025-07-22,25.08,106.24,35.39,235.98,7.06,14.63,85.92,56.71,428.43,75.08,169.9,18.87
2025-07-23,24.78,106.42,34.34,236.88,7.06,14.45,85.07,54.59,425.31,74.2,169.9,18.77
2025-07-24,25.08,107.14,34.91,237.1,7.28,14.73,89.65,54.77,431.55,76.29,171.66,18.91
2025-07-25,25.14,106.06,34.59,238.22,7.12,14.57,87.72,54.3,431.55,76.29,169.9,19.14
