date,sh600097_daily,sh600108_daily,sh600113_daily,sh600127_daily,sz000019_daily,sz000048_daily,sz000061_daily,sz000876_daily,sz300087_daily,sz300094_daily,sz300106_daily,sz300119_daily,sz300498_daily
2024-10-15,13.15,29.0,43.67,41.21,40.37,143.56,141.77,171.78,135.86,8.55,15.83,85.08,37.75
2024-10-16,13.2,29.33,43.82,40.92,40.81,144.87,143.86,171.78,139.37,8.41,16.04,84.39,37.5
2024-10-17,13.04,28.68,44.52,40.01,39.99,142.65,142.93,167.23,140.08,8.28,15.35,83.52,36.71
2024-10-18,13.29,29.22,44.42,40.12,40.56,146.29,145.48,170.14,141.83,8.48,15.48,86.21,38.11
2024-11-06,14.96,32.51,60.98,42.99,43.83,172.76,160.3,184.7,242.24,10.03,15.74,122.89,39.57
2024-12-13,17.01,35.35,75.24,42.36,44.96,182.35,179.07,177.42,212.4,12.36,18.2,125.71,36.66
2024-12-16,16.95,35.35,73.48,43.22,44.58,181.04,177.45,175.6,216.61,12.12,17.45,124.9,36.09
2024-12-18,16.12,34.15,74.73,41.78,43.07,179.32,170.5,172.14,222.58,10.79,16.01,120.19,35.78
2024-12-19,15.84,33.16,73.18,40.24,42.76,182.15,170.5,171.23,211.69,10.64,15.89,120.13,35.69
2024-12-20,16.2,32.83,73.83,40.01,42.44,181.85,170.5,169.96,215.21,10.81,16.73,119.76,35.4
2025-02-17,14.55,31.63,66.75,38.75,41.31,153.46,156.83,173.96,196.07,9.17,13.82,106.59,34.35
2025-02-18,14.26,30.65,65.75,37.66,40.68,150.63,152.2,172.69,187.3,8.73,13.24,102.7,33.76
2025-02-19,14.37,30.86,65.85,37.77,40.62,151.64,150.34,189.98,190.81,8.85,13.49,103.52,34.16
2025-03-11,14.82,31.08,66.5,37.71,40.81,164.07,145.01,181.42,176.59,8.97,14.07,108.85,35.29
2025-03-12,15.3,30.86,67.05,37.77,40.56,161.64,144.09,178.69,174.48,9.09,13.96,108.53,34.87
2025-03-13,15.47,30.86,66.8,37.49,40.68,164.27,143.39,175.6,170.8,9.31,13.76,110.98,34.96
2025-03-14,15.88,31.3,67.91,38.12,41.25,162.55,145.71,176.69,173.43,9.83,16.52,113.05,35.21
2025-03-31,15.03,29.99,69.36,36.57,40.37,175.49,145.71,168.5,163.25,8.63,14.31,111.23,35.04
2025-04-01,15.26,30.54,69.71,37.2,41.25,185.39,148.03,171.05,164.48,8.75,14.34,113.3,35.29
2025-04-02,15.33,30.43,71.42,37.14,41.18,179.32,148.72,169.59,165.88,8.58,14.25,112.36,35.17
2025-04-03,15.47,31.19,71.12,38.29,41.81,179.83,153.12,177.06,171.15,8.75,14.71,118.94,35.86
2025-04-22,15.26,32.29,74.08,39.66,44.2,159.42,156.6,182.7,173.43,8.5,17.42,108.97,36.2
2025-04-23,15.34,31.63,72.61,38.86,42.82,159.32,153.35,179.78,167.99,8.31,17.14,107.4,35.76
2025-04-25,15.23,31.41,72.76,38.12,42.44,158.92,154.28,177.6,164.3,8.11,15.98,120.13,35.5
2025-04-28,14.82,31.19,70.89,37.49,41.25,156.09,148.49,175.96,160.61,7.82,15.89,118.56,35.36
2025-05-06,15.6,31.41,70.23,38.63,42.95,162.41,149.18,177.6,163.6,8.41,16.59,127.28,35.9
2025-05-07,15.73,32.18,71.34,41.15,43.45,166.13,150.57,177.97,170.97,8.5,16.88,125.59,35.78
2025-05-08,15.85,31.96,71.24,40.7,43.13,163.13,150.81,177.6,167.64,8.63,16.96,126.03,35.63
2025-05-09,15.9,32.62,71.6,40.18,42.57,166.44,150.81,175.96,167.46,8.48,16.67,130.29,35.31
2025-05-12,15.9,31.96,71.44,39.66,42.32,175.84,150.57,175.78,163.95,8.55,16.64,139.25,34.98
2025-05-13,15.95,31.52,71.65,39.38,42.32,178.21,149.88,176.69,162.72,8.5,16.39,137.0,35.02
2025-05-14,15.93,31.85,71.7,39.61,42.44,178.21,153.35,177.42,163.25,8.53,16.49,136.62,35.23
2025-05-15,16.17,31.85,71.8,39.89,42.63,181.31,152.2,174.69,162.19,8.82,17.14,144.83,35.0
2025-06-24,16.15,32.18,126.79,39.55,42.68,163.75,150.75,171.05,156.58,8.7,16.55,123.36,36.17
2025-06-25,16.55,32.29,128.1,39.72,42.94,164.37,151.92,172.14,157.28,8.75,16.52,122.41,36.43
2025-06-26,16.54,32.29,140.91,39.61,42.88,161.37,150.52,171.23,156.4,8.87,17.2,120.7,36.62
2025-06-27,16.6,32.51,145.02,39.55,42.94,161.27,152.63,171.23,156.4,8.85,17.48,121.71,36.24
2025-06-30,16.73,32.4,130.53,39.38,42.81,164.27,149.58,170.69,157.1,8.92,17.33,123.11,36.34
2025-07-01,16.65,32.4,126.94,39.49,42.88,163.23,150.29,170.69,159.21,8.92,17.43,125.45,36.3
2025-07-09,16.75,32.62,145.83,39.78,43.39,162.1,152.63,175.05,160.44,9.59,17.3,123.62,37.24
2025-07-10,16.83,32.83,160.41,39.89,43.65,165.61,153.56,177.24,160.44,9.59,17.13,122.98,37.02
2025-07-11,16.89,32.94,156.91,39.95,43.78,165.61,152.86,178.33,160.61,9.61,17.14,124.63,37.24
2025-07-14,17.61,33.05,147.45,39.95,44.1,167.78,152.63,178.69,159.21,9.59,17.16,125.83,37.24
2025-07-15,17.31,32.29,146.28,39.26,43.39,165.71,149.12,177.06,156.75,9.44,16.55,128.94,36.24
2025-07-16,17.39,32.51,144.61,39.55,43.84,164.68,149.82,176.15,158.16,9.51,16.73,136.23,36.45
2025-07-17,17.44,32.51,144.46,39.66,43.71,164.58,150.05,176.15,158.51,9.59,16.94,138.51,36.32
2025-07-18,17.64,32.68,145.37,39.84,44.16,163.03,149.82,177.06,159.21,9.78,16.81,136.42,36.51
2025-07-22,17.48,33.66,147.09,40.24,44.87,169.74,155.2,184.88,160.79,9.71,17.33,135.53,39.54
2025-07-23,17.4,33.44,148.1,39.84,44.23,168.92,154.5,184.7,160.26,9.59,17.25,136.67,39.15
2025-07-24,17.47,34.1,153.42,41.21,45.19,169.74,157.54,184.7,165.56,9.88,17.71,137.31,38.88
2025-07-25,17.64,33.55,156.97,40.35,44.68,169.64,155.9,182.77,162.38,9.78,17.36,138.96,38.64
