"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.0531614663640219,0.0386490171306244,0.0625202387291808,0.106100903911914,0.103576951389635,0.085887785651019,0.106663640170378,0.0736501250454493,0.0452328514893518,0.0258841453722045
0.0536111516057821,0.0517863759202144,0.057281180679115,0.0880615992421599,0.0635770234046648,0.0681775688400097,0.0775124521425875,0.0623062987070166,0.0600139356021717,0.0495685614363689
0.0506575880546587,0.0535148446736058,0.0511363434937634,0.069614918749871,0.0455809504132049,0.0543782564992557,0.0595615504321041,0.0546403239176647,0.0680130090956545,0.0749796727516149
0.0465263603329536,0.0476171146753096,0.0449528771159157,0.054334705269447,0.0368582468533617,0.0444999908878575,0.0482676055494831,0.0489815451127172,0.068323965318801,0.0923777315502843
0.0427513259747434,0.0398456971720449,0.0394587990880608,0.043146690075399,0.0327150786565144,0.0379376413312232,0.0412144660184791,0.0446535065677869,0.0631422710145878,0.0963417867900647
0.04017390852182,0.033541905787213,0.0351584457831759,0.0357222464480136,0.031261614212609,0.0340654426928683,0.037119225539438,0.0415030696793805,0.055677285237479,0.0889147548670852
0.039215924667948,0.029795212069133,0.0323524964444941,0.0314197257128837,0.0317564431931522,0.0324526239887446,0.0353423896868263,0.0396412785157946,0.0484824882971747,0.0761322387196839
0.0401259072443877,0.028759432885996,0.0312241532254134,0.0297193950339431,0.0340117006963639,0.0329070901153808,0.035639498359496,0.039299622952104,0.0429617591704313,0.0633283641645259
0.0431004845994246,0.0305117561231306,0.0319343329560332,0.0303547960540117,0.038130052577641,0.0354431722215968,0.038015303504656,0.0407573966296463,0.0396286881052588,0.0532647619354479
0.0482446784252831,0.0353742043714999,0.0346680100333608,0.0332827406259705,0.0442993417975486,0.0401761532679197,0.0425782646082551,0.0442773778091995,0.0385136279600192,0.0466337017879636
0.0553393262135017,0.0438536692735373,0.0395720244164069,0.0385215497051763,0.0524963382941225,0.0470900429778619,0.049299155860371,0.0499633790887061,0.0394075721035806,0.0431103754849416
0.0634668204433033,0.0561872292368813,0.0465383054360242,0.0458367281820678,0.0620642142541785,0.0556575234610023,0.0576355575035049,0.0574838694672937,0.0419004185267838,0.0420303159105271
0.0708074011159117,0.0715154489331054,0.0548911261752798,0.0543598145224712,0.071392967903073,0.0645017652402851,0.0661990064717409,0.0657676520713046,0.0453254601419331,0.0426505522750812
0.0751240888529104,0.0872336402490289,0.0632569927490273,0.0624831503880213,0.0782098032509178,0.071566158365761,0.0729173381190769,0.0730280067462871,0.0488050636191956,0.0442404780563181
0.0749731032063262,0.0995576516267787,0.0699575959224538,0.0684002067671373,0.0806794704195026,0.0750500536984542,0.0759547271861911,0.0774229414046813,0.0515227901065541,0.0461876739883521
0.0706395841166074,0.105445320183443,0.0737982412197023,0.0710399470400953,0.0785110061459203,0.0744636667429816,0.0747701859580773,0.0780018238313042,0.0530683418106974,0.0481127759577681
0.0637980899372479,0.104203793615222,0.0745519584461819,0.0705210778603592,0.0729576098925247,0.0707503947882595,0.0702693950524566,0.0750662090051608,0.0535215703483828,0.049858939655939
