"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"sector_Communication_Services.csv",0.0212788142549413,-0.0811184454127663,-0.0474992097033469,-0.115151610678153,-0.0732002929479928,0.0207874603419091,0.02245435738334,0.0270433551883924,-0.169695295198819
"sector_Consumer_Discretionary.csv",0.0516942217253636,-0.101610707645512,-0.0406187305415664,-0.17991393820667,-0.109947887744907,0.107179820067157,0.0424272690012061,0.002514445904103,-0.208991949545886
"sector_Consumer_Staples.csv",0.0243998186475592,-0.062306938768467,-0.0412100932421694,-0.0997384340033298,-0.0983571888875506,0.0508104404329102,-0.0151839343876931,0.0455690663031291,-0.173443833137442
"sector_Energy.csv",0.0402489292934911,-0.0526706211455324,-0.041350377294405,-0.118203557218308,-0.0707534360623543,0.0622091405715803,-0.00947007792772842,0.0403723919880836,-0.146378799650078
"sector_Financials.csv",0.000612606008635475,-0.0311436772797639,0.00149520319111093,-0.114031735844805,-0.0337368985269335,0.043386332405275,0.0261834219035982,0.00861393466223708,-0.070601014864845
"sector_Healthcare.csv",0.0275580051111645,-0.0724703699157155,-0.0322475133625784,-0.12862033667231,-0.111767817428826,0.0636833007273202,0.0234281688621478,0.0418338785649953,-0.171856442674408
"sector_Industrials.csv",0.0176074081372298,-0.0616692070116212,-0.0325055384776836,-0.056802170275486,-0.0457179700821368,0.0243626934376224,0.0267279621834824,0.020193778273801,-0.11456167023735
"sector_Real_Estate.csv",0.0312768854534035,-0.093443318989505,-0.0316266755122782,-0.13174628334973,-0.0949203711832449,0.0708848532373622,0.022509127353246,0.0272004857445154,-0.16773247118075
"sector_Technology.csv",0.0272434718850195,-0.112974825534764,-0.00750188395427005,-0.136705615221832,-0.0963631644023568,0.0725957669297012,0.00307504456352432,0.0480425536010576,-0.205226292314306
"sector_Utilities.csv",0.0139908926322677,-0.0890189395994223,-0.0292843196370694,-0.149407132079961,-0.121611435735836,0.0648475806347594,0.0430242679273296,0.0270383973260405,-0.214510911020962
