"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"sector_Communication_Services.csv",0.212491143618617,-0.0268200334005441,0.0056856131838105,0.101426315271428,0.0539218291492837,0.0853955207543935,0.018748917690289,0.0301095835454031,-0.244717201147045,0.0824535644156094
"sector_Consumer_Discretionary.csv",0.223827503699686,-0.0787525411757871,-0.0191295424617577,0.118551243688232,0.0957082922663008,0.0576322543984438,-0.0192063532558501,0.0312588001243155,-0.288977982268482,0.127451824084754
"sector_Consumer_Staples.csv",0.188881445007539,-0.0555966458297953,0.00858744075681555,0.0930098647861354,0.0517080466401271,0.0920944835122807,0.0181151906056006,-0.00842595969677192,-0.217021516562083,0.0802881083151123
"sector_Energy.csv",0.234891979589537,-0.0113446297421932,-0.0272500216519937,0.126207688979327,0.042737966109119,0.0790233686569985,0.0364371944325617,-0.0159998735902083,-0.233251446441492,0.0841975822687848
"sector_Financials.csv",0.185092625625589,-0.0802307378756482,-0.0345991342074678,0.0420904971227029,0.0842219463186891,0.0715358744685573,-0.0114025458057067,-0.0021406665972357,-0.181716809551151,0.111884841849774
"sector_Healthcare.csv",0.251231468176795,-0.0275568276038494,-0.0190663616021701,0.136634732211394,0.0832216443743564,0.0838702634453243,0.0751236923054197,0.0586253232607973,-0.250837949059408,0.0634116760813686
"sector_Industrials.csv",0.226609471251633,-0.00483351772951448,-0.0324569156142886,0.04799955300731,0.0592107600514628,0.070657789796551,0.0412173697750329,0.0169241258245562,-0.179007097456678,0.0600505937788053
"sector_Real_Estate.csv",0.242692080046459,-0.0804230901460869,-0.033152605688118,0.0761447379010823,0.0853012552735459,0.101875084187522,0.0181871629413371,0.0384457267196599,-0.226021953646744,0.0604850083553042
"sector_Technology.csv",0.240517609342898,-0.079498548200859,-0.00357173384497611,0.110091915088547,0.105010051788205,0.105128986519278,0.0455979895038621,0.0375288685367243,-0.250734855658053,0.112432895873261
"sector_Utilities.csv",0.213223307145341,-0.0663696308177053,-0.0512665636089586,0.159456784628998,0.0636152808686151,0.114182013279193,0.0508472186151416,-0.0553623034034094,-0.245012098690017,-0.0922854047527166
