"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99"
-0.0686607629539961,-0.0658537786436518,-0.0631227520304343,-0.0604658862721775,-0.0578815250392111,-0.055368151071435,-0.052924383788081,-0.050548975938247,-0.0482408092860779,-0.045998889330946,-0.0438223390699051,-0.0417103918175125,-0.0396623831063147,-0.0376777417003787,-0.0357559797637921,-0.0338966822363144,-0.0320994954790504,-0.0303641152642156,-0.0286902741945086,-0.0270777286492316,-0.0255262453658226,-0.0240355877767469,-0.0226055022323261,-0.0212357042498774,-0.0199258649380961,-0.0186755977525637,-0.0174844457432858,-0.0163518694578906,-0.0152772356641881,-0.0142598070529497,-0.0132987330757845,-0.0123930420636971,-0.0115416347592842,-0.0107432793796349,-0.00999660830801315,-0.00930011649063747,-0.00865216159081329,-0.00805096592681753,-0.00749462019298695,-0.00698108893612386,-0.00650821773239406,-0.0060737419841087,-0.00567529723192281,-0.00531043085669677,-0.00497661502714428,-0.0046712607348422,-0.0043917327474927,-0.00413536530460582,-0.00389947837694508,-0.00368139431194589,-0.0034784546914914,-0.00328803723548661,-0.0031075725940243,-0.00293456088207021,-0.00276658782288173,-0.00260134037932054,-0.00243662176532861,-0.00227036574271281,-0.00210065012073,-0.00192570938756274,-0.00174394641349661,-0.00155394317541742,-0.00135447046113751,-0.00114449652010886,-0.000923194634355848,-0.000689949590078392,-0.000444363036431698,-0.000186257723569496,8.43193827599762e-05,0.000367095107895287,0.00066156918943782,0.000967014501745253,0.00128247836836969,0.00160678494303392,0.00193853863585055,0.00227612855772495,0.00261773395221925,0.00296133058057338,0.0033046980220637,0.00364542784841105,0.00398093262752616,0.00430845570848421,0.00462508173627894,0.00492774784161569,0.00521325544779919,0.00547828263369407,0.00571939698881757,0.00593306889392763,0.00611568515804869,0.00626356294078799,0.00637296388710123,0.00644010840042051,0.00646118997931091,0.00643238954261847,0.00634988966844085,0.00620988867321885,0.00600861445881748,0.0057423380576407,0.00540738680858267
-0.0658537786436514,-0.0632098502354173,-0.0606368445253363,-0.0581330048951781,-0.0556967152728364,-0.053326498723505,-0.05102101512081,-0.0487790578869473,-0.0465995497962559,-0.0444815378426471,-0.0424241871778686,-0.0404267741346418,-0.0384886783564961,-0.0366093740643815,-0.0347884204990882,-0.0330254515879858,-0.0313201648945823,-0.0296723099198618,-0.0280816758351537,-0.026548078737273,-0.025071348527668,-0.0236513155281953,-0.0222877969564855,-0.0209805833935694,-0.0197294253851003,-0.0185340203247553,-0.0173939997739966,-0.016308917375888,-0.0152782375217594,-0.0143013249279742,-0.0133774352755329,-0.0125057070576564,-0.0116851547696776,-0.0109146635615849,-0.0101929854565211,-0.00951873721868743,-0.00889039993183192,-0.00830632032524678,-0.0077647138586109,-0.00726366955069532,-0.00680115651065576,-0.00637503210507433,-0.00598305166982466,-0.00562287965386212,-0.00529210206278921,-0.00498824005395114,-0.00470876452223301,-0.00445111150681973,-0.00421269824395262,-0.00399093968908593,-0.0037832653334947,-0.00358713614501883,-0.00340006146973322,-0.00321961574047998,-0.00304345484885243,-0.00286933204890902,-0.00269511327318125,-0.00251879175403487,-0.00233850185583655,-0.00215253203544677,-0.00195933686011586,-0.00175754802282226,-0.0015459843054003,-0.00132366044944751,-0.00108979490399774,-0.000843816427324456,-0.000585369528025052,-0.000314318737785975,-3.07517149400799e-05,0.000265018815835302,0.00057245427658395,0.000890790585498407,0.00121903962143095,0.00155599177774296,0.00190021957564661,0.00225008230342978,0.00260373164448804,0.00295911825386362,0.00331399923997325,0.00366594650534275,0.00401235589742102,0.00435045711788528,0.00467732433625833,0.00498988745111939,0.00528494393972098,0.00555917123443142,0.00580913956214396,0.00603132518067394,0.00622212394424215,0.00637786512848393,0.00649482544408505,0.00656924316717072,0.00659733231403833,0.00657529678775487,0.00649934442458591,0.00636570086920683,0.00617062320919124,0.00591041330137012,0.00558143072531146
-0.0631227520304346,-0.0606368445253365,-0.0582169864354678,-0.0558614629538208,-0.0535686995743164,-0.0513372607050308,-0.0491658473882801,-0.0470532941176096,-0.0449985647468806,-0.0430007474922008,-0.0410590490335029,-0.0391727877292061,-0.0373413859645056,-0.0355643616615566,-0.0338413189880607,-0.0321719383095604,-0.030555965440055,-0.0289932002552973,-0.0274834847432478,-0.0260266905765305,-0.0246227063021902,-0.0232714242544329,-0.0219727273061016,-0.0207264755841226,-0.0195324932828253,-0.0183905557165032,-0.0173003767585631,-0.0162615968187699,-0.0152737715120712,-0.0143363611720241,-0.0134487213586516,-0.0126100945044555,-0.0118196028331422,-0.0110762426734134,-0.0103788802749354,-0.00972624921556496,-0.0091169494683742,-0.00854944817436355,-0.00802208214254882,-0.00753306207389663,-0.00708047848007596,-0.00666230924283258,-0.0062764287357003,-0.00592061840737101,-0.00559257870595055,-0.00528994220600206,-0.00501028778611211,-0.00475115569392343,-0.00451006332827306,-0.00428452156419629,-0.00407205144595309,-0.00387020107562,-0.00367656252982385,-0.00348878864444732,-0.00330460951620511,-0.00312184858042141,-0.00293843813574261,-0.00275243419852227,-0.00256203058192094,-0.00236557210709872,-0.00216156686606903,-0.00194869746765381,-0.00172583120945966,-0.00149202912977823,-0.00124655390377624,-0.00098887655823408,-0.000718681988396438,-0.000435873269189622,-0.000140574761126007,0.000166865981358847,0.000485877484620446,0.00081566479291993,0.00115521104179967,0.00150328013669375,0.00185842050143844,0.00221896985756047,0.00258306099189632,0.00294862846716879,0.00331341622753968,0.00367498604881186,0.00403072678078694,0.00437786432726028,0.00471347230719171,0.00503448333870953,0.00533770088577297,0.00561981160552937,0.00587739813268931,0.00610695223562257,0.00630488827740769,0.00646755691378667,0.00659125895894924,0.00667225934935357,0.00670680113543129,0.00669111943108298,0.00662145525138609,0.00649406916993971,0.00630525472878571,0.00605135153588437,0.00572875798767887
-0.0604658862721774,-0.058133004895179,-0.0558614629538206,-0.0536495889226138,-0.051495851054388,-0.0493988560050731,-0.0473573465917884,-0.0453701986754632,-0.0434364171640473,-0.0415551311375493,-0.0397255881018149,-0.0379471473840541,-0.0362192726897678,-0.0345415238478149,-0.0329135477780251,-0.0313350687238736,-0.0298058778013914,-0.0283258219245346,-0.0268947921767091,-0.025512711707872,-0.0241795232465083,-0.0228951763256993,-0.0216596143321333,-0.0204727614962,-0.0193345099498222,-0.018244706986264,-0.0172031426623915,-0.0162095378885143,-0.0152635331536316,-0.0143646780343426,-0.0135124216336585,-0.012706104091132,-0.0119449492980878,-0.0112280589410955,-0.0105544079833181,-0.00992284167702552,-0.00933207418170734,-0.0087806888411482,-0.00826714015002411,-0.00778975741655812,-0.0073467501031568,-0.00693621480236107,-0.00655614378154902,-0.00620443500726054,-0.00587890353934212,-0.00557729416685192,-0.00529729514220898,-0.0050365528577169,-0.00479268729947422,-0.00456330810785826,-0.00434603107112761,-0.00413849487905275,-0.00393837796658585,-0.00374341528306403,-0.00355141482997893,-0.00336027381952119,-0.00316799431659282,-0.00297269823839933,-0.00277264159780994,-0.00256622788912071,-0.00235202052746479,-0.00212875426569502,-0.00189534552496116,-0.00165090158730351,-0.00139472861026917,-0.00112633843473854,-0.000845454167752804,-0.00055201453208468,-0.000246176983527475,7.16803946405201e-05,0.000400958202883043,0.000740836218319212,0.001090275039262,0.00144801884605398,0.00181259923834901,0.00218234010515815,0.00255536348075605,0.00292959633684824,0.00330277825914121,0.00367246995453463,0.00403606253349111,0.00439078751064872,0.00473372746536138,0.00506182730253922,0.00537190605287854,0.00566066915031683,0.00592472112331822,0.00616057863542839,0.00636468380945417,0.00653341776868251,0.00666311432780969,0.00675007376574841,0.00679057661229583,0.00678089738081273,0.00671731817964298,0.00659614213602369,0.00641370656772861,0.00616639583966758,0.00585065384513206
-0.057881525039211,-0.0556967152728368,-0.0535686995743166,-0.0514958510543874,-0.0494766818033721,-0.0475098415184991,-0.0455941152905989,-0.0437284205426809,-0.0419118031173766,-0.0401434325151902,-0.0384225962907031,-0.0367486936196045,-0.0351212280555385,-0.0335397995023142,-0.0320040954341299,-0.03051388140392,-0.0290689908879765,-0.0276693145233876,-0.0263147888036413,-0.0250053843068526,-0.0237410935403728,-0.022521918494905,-0.0213478580104894,-0.0202188950656693,-0.0191349841094975,-0.0180960385635858,-0.0171019186278235,-0.0161524195283697,-0.0152472603497837,-0.0143860735943779,-0.0135683956107854,-0.012793658030111,-0.0120611803417054,-0.011370163731436,-0.0107196862933807,-0.0101086997111346,-0.00953602748768103,-0.00900036478324137,-0.00850027989913543,-0.00803421742290081,-0.00760050302629593,-0.00719734988393461,-0.00682286665679348,-0.00647506696229681,-0.00615188023170461,-0.0058511638365877,-0.00557071634973802,-0.00530829179220673,-0.00506161470753596,-0.00482839589672166,-0.00460634864301058,-0.00439320525418049,-0.00418673375126877,-0.00398475453656301,-0.00378515687971894,-0.00358591506883192,-0.00338510408279814,-0.00318091465207862,-0.00297166758669944,-0.00275582726272532,-0.00253201417129887,-0.00229901644741056,-0.00205580030867667,-0.00180151934738362,-0.00153552263174133,-0.00125736158454633,-0.000966795619151487,-0.000663796523661277,-0.000348551594517714,-2.14655300363731e-05,0.000316838897075736,0.000665521361660463,0.00102352566938482,0.00138958256260573,0.00176221360535273,0.00213973610005887,0.00252026898551995,0.00290173966304664,0.00328189169579147,0.00365829332467341,0.00402834674306948,0.00438929807141219,0.0047382479719312,0.00507216284294921,0.00538788653134018,0.00568215250095801,0.00595159639404779,0.00619276892186945,0.00640214902002924,0.00657615720337295,0.00671116905479635,0.00680352878202818,0.00684956277640146,0.00684559310790116,0.00678795089141097,0.0066729894601195,0.00649709728352032,0.0062567105693639,0.00594832549130745
-0.055368151071435,-0.0533264987235054,-0.0513372607050309,-0.0493988560050729,-0.0475098415184991,-0.0456689106683695,-0.0438748912134269,-0.0421267422344625,-0.0404235502976918,-0.0387645247977917,-0.0371489924882111,-0.0355763912116663,-0.0340462628493844,-0.0325582455137533,-0.0311120650155457,-0.0297075256438175,-0.0283445003039697,-0.0270229200672356,-0.0257427631930357,-0.0245040436941172,-0.0233067995231075,-0.0221510804679301,-0.0210369358523188,-0.0199644021462198,-0.018933490598974,-0.0179441750156179,-0.0169963798030897,-0.016089968418355,-0.0152247323541327,-0.014400380799742,-0.01361653111431,-0.0128727002469652,-0.0121682972334711,-0.0115026168909323,-0.0108748348216762,-0.0102840038241918,-0.00972905179329868,-0.00920878117368785,-0.0087218700109995,-0.00826687462310416,-0.00784223389169682,-0.00744627515127602,-0.007077221629621,-0.00673320137158116,-0.00641225755692071,-0.00611236010361143,-0.00583141843078758,-0.00556729524092122,-0.00531782116888506,-0.00508081013660433,-0.0048540752459991,-0.00463544503983953,-0.0044227799598428,-0.00421398883365604,-0.00400704522702778,-0.00380000350422267,-0.00359101444827411,-0.00337834030272298,-0.00316036910776182,-0.0029356282159317,-0.00270279688544315,-0.00246071786258189,-0.00220840787828014,-0.00194506699758828,-0.00167008677425894,-0.00138305717578564,-0.0010837722568335,-0.000772234570920562,-0.000448658321309783,-0.000113471262246501,0.000232684629160808,0.00058895368201924,0.000954268226274082,0.00132735141151672,0.00170672110369302,0.00209069480946181,0.00247739557483029,0.00286475880232386,0.00325053992918268,0.00363232290781007,0.00400752942879264,0.00437342882616272,0.00472714860407911,0.00506568552368901,0.0053859171885406,0.00568461406651323,0.00595845188580491,0.00620402434207639,0.00641785605342056,0.00659641569944596,0.0067361292804866,0.00683339343282715,0.00688458873592549,0.00688609294798127,0.00683429410688219,0.00672560343461697,0.00655646798469495,0.00632338297398866,0.00602290374273012
-0.0529243837880814,-0.0510210151208107,-0.04916584738828,-0.0473573465917885,-0.045594115290599,-0.0438748912134272,-0.0421985450804148,-0.0405640776307577,-0.0389706158552165,-0.0374174084370641,-0.0359038204096535,-0.0344293270437144,-0.0329935069827318,-0.0315960346504131,-0.0302366719602295,-0.0289152593634081,-0.0276317062785728,-0.026385980953386,-0.0251780998161065,-0.024008116382851,-0.0228761097944635,-0.0217821730651436,-0.0207264011333,-0.0197088788132025,-0.0187296687538314,-0.01778879951853,-0.0168862539055199,-0.0160219576346357,-0.0151957685296274,-0.014407466327681,-0.0136567432481982,-0.0129431954511161,-0.0122663155109048,-0.0116254860257419,-0.0110199744721342,-0.0104489294034633,-0.00991137807663882,-0.00940622557448707,-0.00893225547292482,-0.008488132081752,-0.00807240426649617,-0.00768351083663083,-0.00731978746322624,-0.00697947506720771,-0.00666072959844191,-0.00636163310633778,-0.00608020598498827,-0.00581442026046309,-0.00556221377496955,-0.00532150511244069,-0.00509020910275813,-0.00486625273731897,-0.00464759132691119,-0.00443222473376753,-0.00421821351301922,-0.00400369480434355,-0.00378689782217416,-0.00356615880211616,-0.00333993527194915,-0.00310681952753042,-0.00286555120675862,-0.0026150288682916,-0.00235432049565474,-0.00208267286151068,-0.00179951970093875,-0.001504488656377,-0.00119740697020088,-0.000878305913563463,-0.000547423951929445,-0.000205208658565855,0.000147682602999065,0.000510383197942932,0.000881818903527709,0.00126071071363342,0.00164557871609112,0.00203474699039957,0.00242634947031376,0.00281833671351141,0.00320848351896073,0.00359439733157505,0.0039735273731206,0.00434317443801057,0.00470050129246604,0.00504254361545875,0.00536622141980896,0.00566835089174632,0.00594565658713637,0.00619478392242913,0.00641231189822306,0.00659476599318747,0.00673863116600579,0.00684036490303757,0.00689641024960834,0.00690320876328673,0.00685721332823911,0.00675490077081965,0.00659278421799027,0.00636742514199454,0.00607544503694943
-0.0505489759382473,-0.0487790578869478,-0.0470532941176095,-0.0453701986754636,-0.0437284205426805,-0.0421267422344627,-0.0405640776307577,-0.0390394690401323,-0.0375520834962045,-0.0361012082911688,-0.0346862457552557,-0.0333067072955719,-0.0319622067126624,-0.0306524528183331,-0.0293772413837897,-0.0281364464530444,-0.0269300110627767,-0.0257579374164517,-0.0246202765674459,-0.0235171176732001,-0.022448576889953,-0.0214147859852948,-0.0204158807535603,-0.0194519893267525,-0.0185232204811295,-0.017629652046555,-0.0167713195320081,-0.0159482050859906,-0.015160226914719,-0.0144072292836489,-0.0136889732288102,-0.0130051281033737,-0.012355264081627,-0.0117388457369388,-0.0111552268022579,-0.0106036462111801,-0.0100832255047087,-0.00959296767365574,-0.00913175748943039,-0.00869836335706333,-0.00829144070408124,-0.00790953689777694,-0.0075510976619518,-0.00721447494291218,-0.00689793615383511,-0.00659967470712604,-0.00631782172646434,-0.00605045881430282,-0.00579563173693318,-0.00555136487809813,-0.00531567630366095,-0.00508659327410484,-0.00486216803860938,-0.00464049374407235,-0.00441972029456943,-0.00419807000120846,-0.00397385286892024,-0.00374548137521276,-0.00351148460604535,-0.00327052162550294,-0.00302139396860245,-0.00276305716007543,-0.00249463117607677,-0.00221540978020199,-0.00192486867969172,-0.00162267246200642,-0.001308680285829,-0.000982950313776076,-0.000645742886472319,-0.000297522449009525,6.10417489581858e-05,0.000429076149221296,0.000805504539111527,0.00118905081918493,0.001578242834714,0.00197141721707359,0.00236672517799859,0.00276213919748186,0.0031554605446282,0.00354432756992733,0.00392622470702001,0.00429849212195668,0.00465833594807962,0.00500283904488561,0.00532897221948042,0.00563360584946186,0.00591352184623478,0.00616542589787616,0.00638595993073148,0.00657171472898324,0.00671924265151854,0.00682507038560294,0.00688571167718527,0.00689767997818009,0.00685750095185241,0.00676172477850476,0.00660693820508667,0.00638977628413233,0.00610693374960482
-0.048240809286078,-0.0465995497962559,-0.0449985647468805,-0.043436417164047,-0.0419118031173764,-0.0404235502976919,-0.0389706158552166,-0.0375520834962046,-0.0361671598396396,-0.0348151700395279,-0.0334955526823686,-0.0322078539737278,-0.030951721232353,-0.0297268957150915,-0.0285332048009469,-0.0273705535680396,-0.0262389158029341,-0.0251383244878796,-0.0240688618178736,-0.0230306488061581,-0.0220238345436829,-0.0210485851852258,-0.0201050727420644,-0.0191934637683185,-0.0183139080350916,-0.0174665272932034,-0.0166514042313888,-0.0158685717421137,-0.015118002611377,-0.0143995997517808,-0.0137131870994716,-0.013058501295103,-0.0124351842664702,-0.0118427768258008,-0.0112807133877094,-0.0107483179045086,-0.010244801103935,-0.00976925910049544,-0.0093206734357929,-0.00889791258557042,-0.008499734952227,-0.0081247933415413,-0.00777164090182162,-0.00743873848307968,-0.00712446335365706,-0.00682711919242789,-0.00654494725675726,-0.00627613861014027,-0.00601884727927408,-0.00577120419842098,-0.00553133178954586,-0.00529735901991679,-0.00506743677471461,-0.00483975338066592,-0.0046125501177079,-0.00438413655909596,-0.00415290558599457,-0.00391734793025761,-0.00367606610856805,-0.00342778762214938,-0.00317137730858758,-0.0029058487456676,-0.00263037462124071,-0.00234429599770894,-0.00204713041445819,-0.00173857878621356,-0.00141853106955895,-0.00108707068350747,-0.000744477682821854,-0.000391230694564648,-2.80076389757836e-05,0.00034431473487474,0.00072466246018056,0.00111176706505195,0.00150416933611761,0.00190022407824359,0.00229810581241623,0.0026958153516689,0.0030911871935756,0.00348189766712814,0.00386547377160426,0.00423930264517125,0.0046006416013318,0.00494662867179079,0.00527429359482197,0.00558056918868492,0.00586230305004755,0.00611626951770159,0.00633918184212844,0.0065277045017068,0.00667846560659657,0.00678806933163631,0.00685310832000662,0.00687017600000094,0.00683587875805999,0.00674684791231201,0.00659975143226219,0.00639130535201979,0.00611828482655544
-0.0459988893309464,-0.0444815378426469,-0.0430007474922006,-0.041555131137549,-0.0401434325151901,-0.0387645247977916,-0.0374174084370643,-0.0361012082911688,-0.0348151700395282,-0.0335586558915725,-0.032331139599848,-0.0311322007919279,-0.0299615186397937,-0.0288188648898129,-0.0277040962811142,-0.0266171463851279,-0.025558016904289,-0.0245267684734506,-0.0235235110133791,-0.0225483936918226,-0.0216015945540215,-0.0206833098910913,-0.0197937434213897,-0.0189330953666997,-0.0181015515116188,-0.0172992723408475,-0.0165263823548956,-0.0157829596698299,-0.015069026010921,-0.0143845372130702,-0.01372937434253,-0.0131033355544505,-0.0125061287989019,-0.0119373654841777,-0.0113965552001468,-0.0108831015961879,-0.0103962994978061,-0.00993533333342975,-0.00949927692833523,-0.00908709470632123,-0.00869764432198776,-0.00832968072761469,-0.00798186165908936,-0.00765275450555443,-0.00734084450787369,-0.00704454421210696,-0.00676220408636821,-0.00649212419310454,-0.00623256679431548,-0.00598176975481185,-0.00573796059850563,-0.00549937106507408,-0.00526425200923004,-0.00503088848227992,-0.0047976148356183,-0.00456282968821307,-0.00432501060483738,-0.00408272833864386,-0.00383466050044714,-0.00357960452754971,-0.00331648983687064,-0.00304438906022573,-0.00276252827359119,-0.00247029614674402,-0.00216725195451678,-0.00185313240572828,-0.00152785726036476,-0.00119153371952142,-0.00084445958572759,-0.000487125203371221,-0.000120214199847183,0.000255396942333855,0.000638640443982976,0.00102825987283885,0.00142281382141061,0.00182068056383448,0.00222006363337093,0.00261899826003005,0.00301535860652578,0.00340686574016145,0.00379109627818117,0.00416549164443012,0.00452736787571394,0.00487392591692308,0.00520226234469471,0.00550938046006313,0.00579220169115749,0.00604757724752932,0.00627229996813681,0.00646311630540686,0.00661673838817377,0.00672985610670731,0.00679914916354698,0.00682129903450695,0.0067930007850648,0.00671097468844074,0.00657197759305795,0.00637281398877526,0.00611034672332567
